Price Date,Open Price,High Price,Low Price,Close Price,Trade Value,Number Of Trades,Traded Quantity
20-12-2021,1801.7,1829.65,1787.3,1798.9,10423053263,220523,5773891
17-12-2021,1820,1842,1806.75,1820.85,34427916211,398575,18887243
16-12-2021,1762.65,1777.6,1758,1771.6,7924136142,161944,4481031
15-12-2021,1745,1747.95,1721.2,1734.2,5289916760,123458,3053149
14-12-2021,1730.9,1763,1710.35,1752.15,8328622415,178424,4768144
13-12-2021,1767.05,1771.35,1738.8,1744.65,7076097488,138705,4040584
10-12-2021,1760,1763.75,1746,1759.25,3199026985,114797,1823469
09-12-2021,1759,1769.4,1742,1763.45,3658856607,90007,2082171
08-12-2021,1733,1759.8,1732.6,1753.35,5299514522,101838,3029169
07-12-2021,1701.1,1724.9,1694,1711.65,7191049986,113379,4202122
06-12-2021,1730,1733.95,1691.5,1695.3,6807306904,170662,3991449
03-12-2021,1771.1,1786.65,1732.55,1735.55,11876876754,172077,6754012
02-12-2021,1715,1750.5,1711.35,1748.25,9661020146,173258,5559574
01-12-2021,1715,1741.9,1713,1714.9,8967308950,204083,5193264
30-11-2021,1704.55,1729.9,1700.05,1712.65,25379600677,209403,14808963
29-11-2021,1691,1712,1669.15,1696.35,6681771091,187081,3942776
26-11-2021,1702.55,1718.35,1684,1691.65,7646702666,189716,4494181
25-11-2021,1700,1726.2,1696.95,1722.4,7678310604,141756,4476260
24-11-2021,1740,1740.5,1688,1696,12560636399,261744,7333061
23-11-2021,1735.1,1747.25,1710,1736.9,14616871616,228363,8436160
22-11-2021,1784,1785.4,1751.15,1759.4,11696747301,170729,6621839
18-11-2021,1781.6,1789.45,1759,1779.4,7675682400,154647,4326924
17-11-2021,1792.55,1802,1780.7,1787.45,8483456714,195585,4732492
16-11-2021,1790,1808.95,1777,1792.3,10846091249,173120,6034233
15-11-2021,1782.1,1800,1775.5,1787.15,7809957009,154854,4354074
12-11-2021,1743,1782.85,1738.05,1780.2,8954436975,142273,5069009
11-11-2021,1732.95,1739.75,1709,1733.3,8155869538,128994,4731349
10-11-2021,1726,1750.95,1721.95,1740.15,8305852157,115801,4780368
09-11-2021,1734.75,1750,1726,1742.5,6992803830,141964,4016134
08-11-2021,1730,1741,1703,1737.5,9063983394,194006,5245903
04-11-2021,1715,1717,1705,1708.7,826894810.3,45697,483407
03-11-2021,1709,1717.45,1699,1702.5,6027214982,159185,3530713
02-11-2021,1695,1706.45,1686.35,1697.9,5888203296,132426,3471772
01-11-2021,1677.5,1707.2,1676,1700.05,6166483836,156714,3636806
29-10-2021,1699,1712.6,1661.05,1667.75,9914259073,212408,5875091
28-10-2021,1719.35,1724.75,1692.05,1703.9,9114701909,194339,5329972
27-10-2021,1709.1,1734.15,1701.15,1728.95,8747027005,174841,5090259
26-10-2021,1710.05,1726.6,1695.9,1703.7,10008498840,163478,5871709
25-10-2021,1722.05,1729.75,1687.2,1707.55,10039080678,175289,5905209
22-10-2021,1749.9,1763.2,1707,1719.8,12737099865,231471,7369809
21-10-2021,1814,1814,1746.85,1753.65,15523851574,227646,8779629
20-10-2021,1829.4,1848,1794.05,1802.35,10690134352,193075,5876115
19-10-2021,1814,1834.5,1782.3,1822.15,18778087117,236442,10324260
18-10-2021,1740,1799,1740,1792.15,23795103035,310783,13438109
14-10-2021,1754,1783.6,1698.2,1715.75,34164007327,428428,19655776
13-10-2021,1695.95,1713.65,1680.05,1709.2,12062453914,273495,7104171
12-10-2021,1677,1689,1662,1685.15,12477416052,258781,7439300
11-10-2021,1682,1730,1663.7,1690.95,15017023821,264208,8840633
08-10-2021,1705.25,1731.5,1698.4,1723.85,8147261440,223183,4738376
07-10-2021,1687,1704.2,1676.65,1691,9272107761,142352,5476108
06-10-2021,1702.1,1709,1670,1673.55,7188385187,168805,4271698
05-10-2021,1671,1702.95,1663,1692.8,7336751142,174119,4373310
04-10-2021,1672.5,1688,1665.4,1678.75,4946872978,122901,2947154
01-10-2021,1665.1,1678.95,1661.25,1665.15,9577431061,166006,5733906
30-09-2021,1703,1703,1670.1,1675.2,11630225539,155817,6914031
29-09-2021,1659.25,1701.4,1655,1692.25,13115587857,252164,7792548
28-09-2021,1710,1710,1675,1687.1,11068146871,321289,6557197
27-09-2021,1768.75,1769,1718.1,1721.15,8739379305,227547,5045337
24-09-2021,1758,1788,1752.45,1763.85,14674577076,231499,8280446
23-09-2021,1732,1745,1721.1,1742.55,6630769718,151039,3826090
22-09-2021,1717,1738.9,1713.05,1716.9,7864586459,162450,4553892
21-09-2021,1700,1726.75,1684.65,1718.45,7977838675,138846,4672222
20-09-2021,1685,1707.7,1677.95,1687.85,9599964334,136341,5660743
17-09-2021,1697,1718,1684.45,1691.3,12647632624,123572,7454864
16-09-2021,1715.2,1719.25,1691.45,1702.25,5522817876,159668,3246568
15-09-2021,1693.25,1715.1,1690.2,1711.45,6926434283,187441,4062344
14-09-2021,1695.95,1695.95,1678.6,1686.15,8349299076,207112,4945167
13-09-2021,1683,1701.5,1675.2,1691.9,7876437378,187031,4662374
09-09-2021,1685.9,1694.9,1682.15,1691.6,5627248636,137087,3331674
08-09-2021,1700.85,1700.85,1682.95,1693.25,7762344324,153873,4584896
07-09-2021,1730,1734.9,1704,1706.65,6032143711,149711,3520341
06-09-2021,1705.15,1732,1699.35,1730.4,8364392786,183161,4876026
03-09-2021,1696.05,1705.95,1684.4,1700.65,9066475361,210049,5339139
02-09-2021,1677.35,1694.3,1662.65,1689.1,11442649484,258731,6830050
01-09-2021,1709.5,1709.5,1673.15,1677.75,13140486835,244163,7801974
31-08-2021,1700.15,1715,1685.85,1706.45,20843024214,219156,12255438
30-08-2021,1703.05,1718.65,1690.4,1698.05,11157103925,295734,6559667
27-08-2021,1725,1727.7,1705.2,1708.8,11476309164,179152,6698514
26-08-2021,1734,1746,1720,1727.7,9195716831,114055,5302248
25-08-2021,1718,1746.9,1718,1735.55,10658228275,140494,6153253
24-08-2021,1750,1757,1712.7,1720.85,13151981490,242564,7602939
23-08-2021,1735.75,1753.15,1732,1738.75,10779186292,170252,6189051
20-08-2021,1716.1,1745,1716.1,1732.95,10764080449,188065,6206972
18-08-2021,1729,1755.5,1727,1733.45,11629623310,193759,6686090
17-08-2021,1703.9,1748.9,1686.55,1741.65,16453341374,263393,9510390
16-08-2021,1707.7,1719.95,1690.1,1704.4,7776599068,181480,4564109
13-08-2021,1697,1722.5,1691.3,1712.2,9585318722,144604,5612790
12-08-2021,1679.15,1696.5,1674,1689.6,9551399368,152218,5659579
11-08-2021,1674.8,1684,1668,1677.55,8211808502,149326,4899639
10-08-2021,1668,1680,1661.05,1677.25,11463058438,135096,6846517
09-08-2021,1661,1667.45,1646.4,1663.3,8314309678,113096,5018477
06-08-2021,1657,1660.65,1644,1650.2,6206401477,100454,3754855
05-08-2021,1649.5,1666,1647.05,1653.55,8975400927,124049,5420536
04-08-2021,1669.1,1679.9,1639.05,1649.25,11143605331,152430,6740391
03-08-2021,1647,1658.65,1635.6,1655.2,9074703957,140415,5513668
